date/time: ,19/10/2022,06:44 p.m.
Run 1

time	Velocity 2
0,000000	7,835053E-1
0,016667	7,833077E-1
0,033333	7,833882E-1
0,050000	7,831246E-1
0,066667	7,834541E-1
0,083333	7,833882E-1
0,100000	7,833516E-1
0,116667	7,833735E-1
0,133333	7,830880E-1
0,150000	7,829489E-1
0,166667	7,832710E-1
0,183333	7,829270E-1
0,200000	7,829123E-1
0,216667	7,826927E-1
0,233333	7,830002E-1
0,250000	7,826415E-1
0,266667	7,828172E-1
0,283333	7,826341E-1
0,300000	7,828538E-1
0,316667	7,826634E-1
0,333333	7,830295E-1
0,350000	7,827952E-1
0,366667	7,828611E-1
0,383333	7,829562E-1
0,400000	7,830587E-1
0,416667	7,832198E-1
0,433333	7,834687E-1
0,450000	7,834760E-1
0,466667	7,834907E-1
0,483333	7,836225E-1
0,500000	7,835712E-1
0,516667	7,836444E-1
0,533333	7,832784E-1
0,550000	7,834394E-1
0,566667	7,831466E-1
0,583333	7,831027E-1
0,600000	7,830514E-1
0,616667	7,829489E-1
0,633333	7,831759E-1
0,650000	7,831905E-1
0,666667	7,827439E-1
0,683333	7,830295E-1
0,700000	7,827952E-1
0,716667	7,828684E-1
0,733333	7,828904E-1
0,750000	7,830880E-1
0,766667	7,829709E-1
0,783333	7,830514E-1
0,800000	7,831320E-1
0,816667	7,832271E-1
0,833333	7,831612E-1
0,850000	7,832930E-1
0,866667	7,833955E-1
0,883333	7,834028E-1
0,900000	7,836371E-1
0,916667	7,836591E-1
0,933333	7,835566E-1
0,950000	7,836371E-1
0,966667	7,832491E-1
0,983333	7,835932E-1
1,000000	7,834248E-1
1,016667	7,832710E-1
1,033333	7,833077E-1
1,050000	7,832271E-1
1,066667	7,831832E-1
1,083333	7,832125E-1
1,100000	7,829123E-1
1,116667	7,829489E-1
1,133333	7,829562E-1
1,150000	7,827000E-1
1,166667	7,827732E-1
1,183333	7,830295E-1
1,200000	7,828977E-1
1,216667	7,830002E-1
1,233333	7,833077E-1
1,250000	7,831832E-1
1,266667	7,832784E-1
1,283333	7,834028E-1
1,300000	7,832710E-1
1,316667	7,835419E-1
1,333333	7,834980E-1
1,350000	7,836371E-1
1,366667	7,836737E-1
1,383333	7,835126E-1
1,400000	7,835419E-1
1,416667	7,833589E-1
1,433333	7,833443E-1
1,450000	7,834467E-1
1,466667	7,830587E-1
1,483333	7,830807E-1
1,500000	7,831539E-1
1,516667	7,831612E-1
1,533333	7,832052E-1
1,550000	7,831612E-1
1,566667	7,829929E-1
1,583333	7,832125E-1
1,600000	7,828904E-1
1,616667	7,831173E-1
1,633333	7,832857E-1
1,650000	7,831100E-1
1,666667	7,831832E-1
1,683333	7,832491E-1
1,700000	7,834175E-1
1,716667	7,833003E-1
1,733333	7,833809E-1
1,750000	7,836371E-1
1,766667	7,835712E-1
1,783333	7,837762E-1
1,800000	7,835566E-1
1,816667	7,836151E-1
1,833333	7,834175E-1
1,850000	7,834541E-1
1,866667	7,834467E-1
1,883333	7,834467E-1
1,900000	7,832418E-1
1,916667	7,832930E-1
1,933333	7,832930E-1
1,950000	7,830368E-1
1,966667	7,829855E-1
1,983333	7,827659E-1
2,000000	7,829709E-1
2,016667	7,829636E-1
2,033333	7,829709E-1
2,050000	7,831173E-1
2,066667	7,832125E-1
2,083333	7,833589E-1
2,100000	7,832418E-1
2,116667	7,833809E-1
2,133333	7,834248E-1
2,150000	7,834834E-1
2,166667	7,834175E-1
2,183333	7,836298E-1
2,200000	7,836225E-1
2,216667	7,834687E-1
2,233333	7,835785E-1
2,250000	7,833662E-1
2,266667	7,833662E-1
2,283333	7,833662E-1
2,300000	7,834028E-1
2,316667	7,831686E-1
2,333333	7,832564E-1
2,350000	7,832198E-1
2,366667	7,831100E-1
2,383333	7,830953E-1
2,400000	7,830587E-1
2,416667	7,828464E-1
2,433333	7,828538E-1
2,450000	7,828904E-1
2,466667	7,829782E-1
2,483333	7,829929E-1
2,500000	7,833369E-1
2,516667	7,832857E-1
2,533333	7,831173E-1
2,550000	7,834980E-1
2,566667	7,832491E-1
2,583333	7,833589E-1
2,600000	7,836591E-1
2,616667	7,836957E-1
2,633333	7,837615E-1
2,650000	7,837908E-1
2,666667	7,834028E-1
2,683333	7,834248E-1
2,700000	7,833369E-1
2,716667	7,833296E-1
2,733333	7,832710E-1
2,750000	7,832491E-1
2,766667	7,833955E-1
2,783333	7,832637E-1
2,800000	7,832637E-1
2,816667	7,831978E-1
2,833333	7,828245E-1
2,850000	7,829416E-1
2,866667	7,830075E-1
2,883333	7,831320E-1
2,900000	7,832710E-1
2,916667	7,830368E-1
2,933333	7,832710E-1
2,950000	7,832491E-1
2,966667	7,834248E-1
2,983333	7,832784E-1
3,000000	7,833662E-1
3,016667	7,833150E-1
3,033333	7,835932E-1
3,050000	7,837689E-1
3,066667	7,836225E-1
3,083333	7,835858E-1
3,100000	7,835785E-1
3,116667	7,836664E-1
3,133333	7,833735E-1
3,150000	7,833882E-1
3,166667	7,834614E-1
3,183333	7,833955E-1
3,200000	7,833223E-1
3,216667	7,832857E-1
3,233333	7,830953E-1
3,250000	7,830441E-1
3,266667	7,830295E-1
3,283333	7,830368E-1
3,300000	7,829050E-1
3,316667	7,831320E-1
3,333333	7,831978E-1
3,350000	7,832564E-1
3,366667	7,832710E-1
3,383333	7,830661E-1
3,400000	7,835200E-1
3,416667	7,831832E-1
3,433333	7,835346E-1
3,450000	7,834028E-1
3,466667	7,836371E-1
3,483333	7,836957E-1
3,500000	7,837689E-1
3,516667	7,835200E-1
3,533333	7,837396E-1
3,550000	7,837030E-1
3,566667	7,832857E-1
3,583333	7,833077E-1
3,600000	7,832784E-1
3,616667	7,832564E-1
3,633333	7,832564E-1
3,650000	7,829270E-1
3,666667	7,828977E-1
3,683333	7,829782E-1
3,700000	7,830148E-1
3,716667	7,830587E-1
3,733333	7,830880E-1
3,750000	7,831466E-1
3,766667	7,831905E-1
3,783333	7,833516E-1
3,800000	7,833735E-1
3,816667	7,834321E-1
3,833333	7,834907E-1
3,850000	7,836005E-1
3,866667	7,833003E-1
3,883333	7,835200E-1
3,900000	7,836078E-1
3,916667	7,836517E-1
3,933333	7,837615E-1
3,950000	7,834980E-1
3,966667	7,834614E-1
3,983333	7,835858E-1
4,000000	7,833223E-1
4,016667	7,832930E-1
4,033333	7,832564E-1
4,050000	7,834834E-1
4,066667	7,831759E-1
4,083333	7,832564E-1
4,100000	7,831832E-1
4,116667	7,832125E-1
4,133333	7,832125E-1
4,150000	7,828172E-1
4,166667	7,832710E-1
4,183333	7,828684E-1
4,200000	7,829196E-1
4,216667	7,830441E-1
4,233333	7,832344E-1
4,250000	7,834980E-1
4,266667	7,833003E-1
4,283333	7,833809E-1
4,300000	7,835566E-1
4,316667	7,833735E-1
4,333333	7,838055E-1
4,350000	7,836957E-1
4,366667	7,836591E-1
4,383333	7,834834E-1
4,400000	7,834321E-1
4,416667	7,833882E-1
4,433333	7,832418E-1
4,450000	7,834175E-1
4,466667	7,831027E-1
4,483333	7,831027E-1
4,500000	7,832930E-1
4,516667	7,832930E-1
4,533333	7,832784E-1
4,550000	7,830807E-1
4,566667	7,830880E-1
4,583333	7,831686E-1
4,600000	7,829050E-1
4,616667	7,829343E-1
4,633333	7,830002E-1
4,650000	7,831320E-1
4,666667	7,833443E-1
4,683333	7,834760E-1
4,700000	7,833003E-1
4,716667	7,836078E-1
4,733333	7,838128E-1
4,750000	7,834321E-1
4,766667	7,834834E-1
4,783333	7,835712E-1
4,800000	7,835639E-1
4,816667	7,835492E-1
4,833333	7,835273E-1
4,850000	7,834760E-1
4,866667	7,835273E-1
4,883333	7,834394E-1
4,900000	7,834028E-1
4,916667	7,833882E-1
4,933333	7,831978E-1
4,950000	7,833955E-1
4,966667	7,833369E-1
4,983333	7,832710E-1
5,000000	7,832857E-1
5,016667	7,833003E-1
5,033333	7,829562E-1
5,050000	7,832491E-1
5,066667	7,833003E-1
5,083333	7,833735E-1
5,100000	7,834541E-1
5,116667	7,834907E-1
5,133333	7,836517E-1
5,150000	7,835273E-1
5,166667	7,837982E-1
5,183333	7,836225E-1
5,200000	7,836298E-1
5,216667	7,836371E-1
5,233333	7,836810E-1
5,250000	7,837469E-1
5,266667	7,837030E-1
5,283333	7,836371E-1
5,300000	7,834467E-1
5,316667	7,834614E-1
5,333333	7,835346E-1
5,350000	7,830587E-1
5,366667	7,830075E-1
5,383333	7,832052E-1
5,400000	7,829709E-1
5,416667	7,831100E-1
5,433333	7,829636E-1
5,450000	7,831320E-1
5,466667	7,828684E-1
5,483333	7,832784E-1
5,500000	7,830368E-1
5,516667	7,834760E-1
5,533333	7,832418E-1
5,550000	7,833735E-1
5,566667	7,834907E-1
5,583333	7,835712E-1
5,600000	7,834980E-1
5,616667	7,834614E-1
5,633333	7,834541E-1
5,650000	7,836444E-1
5,666667	7,836005E-1
5,683333	7,835858E-1
5,700000	7,837103E-1
5,716667	7,833882E-1
5,733333	7,834101E-1
5,750000	7,833369E-1
5,766667	7,835200E-1
5,783333	7,831246E-1
5,800000	7,831905E-1
5,816667	7,833443E-1
5,833333	7,829050E-1
5,850000	7,828977E-1
5,866667	7,829416E-1
5,883333	7,832052E-1
5,900000	7,832710E-1
5,916667	7,831466E-1
5,933333	7,831173E-1
5,950000	7,831978E-1
5,966667	7,833077E-1
5,983333	7,834321E-1
6,000000	7,834907E-1
6,016667	7,836005E-1
6,033333	7,836444E-1
6,050000	7,835346E-1
6,066667	7,836371E-1
6,083333	7,836444E-1
6,100000	7,835858E-1
6,116667	7,835419E-1
6,133333	7,835053E-1
6,150000	7,836517E-1
6,166667	7,836810E-1
6,183333	7,835566E-1
6,200000	7,833077E-1
6,216667	7,830661E-1
6,233333	7,832344E-1
6,250000	7,832052E-1
6,266667	7,831612E-1
6,283333	7,832418E-1
6,300000	7,831686E-1
6,316667	7,832052E-1
6,333333	7,832710E-1
6,350000	7,833443E-1
6,366667	7,830807E-1
6,383333	7,835566E-1
6,400000	7,832125E-1
6,416667	7,835639E-1
6,433333	7,833955E-1
6,450000	7,836371E-1
6,466667	7,836810E-1
6,483333	7,837103E-1
6,500000	7,838055E-1
6,516667	7,835932E-1
6,533333	7,835126E-1
6,550000	7,837323E-1
6,566667	7,834687E-1
6,583333	7,834760E-1
6,600000	7,834101E-1
6,616667	7,833589E-1
6,633333	7,833443E-1
6,650000	7,834028E-1
6,666667	7,830148E-1
6,683333	7,830148E-1
6,700000	7,831759E-1
6,716667	7,831832E-1
6,733333	7,829929E-1
6,750000	7,830002E-1
6,766667	7,830734E-1
6,783333	7,833882E-1
6,800000	7,832491E-1
6,816667	7,835419E-1
6,833333	7,833662E-1
6,850000	7,836810E-1
6,866667	7,835712E-1
6,883333	7,836737E-1
6,900000	7,838567E-1
6,916667	7,838201E-1
6,933333	7,839372E-1
6,950000	7,837982E-1
6,966667	7,839299E-1
6,983333	7,839080E-1
7,000000	7,836151E-1
7,016667	7,835785E-1
7,033333	7,835639E-1
7,050000	7,834541E-1
7,066667	7,833882E-1
7,083333	7,834394E-1
7,100000	7,834028E-1
7,116667	7,830075E-1
7,133333	7,832271E-1
7,150000	7,833882E-1
7,166667	7,832125E-1
7,183333	7,832418E-1
7,200000	7,833296E-1
7,216667	7,834687E-1
7,233333	7,834467E-1
7,250000	7,833150E-1
7,266667	7,834467E-1
7,283333	7,835566E-1
7,300000	7,838055E-1
7,316667	7,838640E-1
7,333333	7,839080E-1
7,350000	7,838128E-1
7,366667	7,835785E-1
7,383333	7,836664E-1
7,400000	7,837762E-1
7,416667	7,837689E-1
7,433333	7,834907E-1
7,450000	7,833882E-1
7,466667	7,833516E-1
7,483333	7,833809E-1
7,500000	7,831246E-1
7,516667	7,833150E-1
7,533333	7,831173E-1
7,550000	7,832784E-1
7,566667	7,828977E-1
7,583333	7,831027E-1
7,600000	7,831759E-1
7,616667	7,832637E-1
7,633333	7,831246E-1
7,650000	7,831320E-1
7,666667	7,832052E-1
7,683333	7,832857E-1
7,700000	7,834101E-1
7,716667	7,834467E-1
7,733333	7,835858E-1
7,750000	7,835932E-1
7,766667	7,836444E-1
7,783333	7,837323E-1
7,800000	7,835126E-1
7,816667	7,835785E-1
7,833333	7,836810E-1
7,850000	7,837030E-1
7,866667	7,834541E-1
7,883333	7,833296E-1
7,900000	7,833223E-1
7,916667	7,832418E-1
7,933333	7,834321E-1
7,950000	7,830953E-1
7,966667	7,830514E-1
7,983333	7,831393E-1
8,000000	7,832271E-1
8,016667	7,831539E-1
8,033333	7,831539E-1
8,050000	7,831978E-1
8,066667	7,832637E-1
8,083333	7,833296E-1
8,100000	7,832125E-1
8,116667	7,832930E-1
8,133333	7,834687E-1
8,150000	7,836664E-1
8,166667	7,836371E-1
8,183333	7,836517E-1
8,200000	7,837176E-1
8,216667	7,839153E-1
8,233333	7,835346E-1
8,250000	7,837176E-1
8,266667	7,837176E-1
8,283333	7,836517E-1
8,300000	7,836005E-1
8,316667	7,835419E-1
8,333333	7,834834E-1
8,350000	7,835200E-1
8,366667	7,831832E-1
8,383333	7,830880E-1
8,400000	7,831100E-1
8,416667	7,830953E-1
8,433333	7,831539E-1
8,450000	7,833516E-1
8,466667	7,832052E-1
8,483333	7,829929E-1
8,500000	7,831393E-1
8,516667	7,833223E-1
8,533333	7,834980E-1
8,550000	7,833077E-1
8,566667	7,834248E-1
8,583333	7,837469E-1
8,600000	7,835126E-1
8,616667	7,838128E-1
8,633333	7,836151E-1
8,650000	7,836591E-1
8,666667	7,836810E-1
8,683333	7,836957E-1
8,700000	7,834687E-1
8,716667	7,835932E-1
8,733333	7,835053E-1
8,750000	7,835639E-1
8,766667	7,832637E-1
8,783333	7,831759E-1
8,800000	7,831686E-1
8,816667	7,831246E-1
8,833333	7,829270E-1
8,850000	7,828830E-1
8,866667	7,828977E-1
8,883333	7,829489E-1
8,900000	7,830880E-1
8,916667	7,833296E-1
8,933333	7,831466E-1
8,950000	7,832784E-1
8,966667	7,833223E-1
8,983333	7,835492E-1
9,000000	7,833443E-1
9,016667	7,835712E-1
9,033333	7,835273E-1
9,050000	7,836591E-1
9,066667	7,838714E-1
9,083333	7,838494E-1
9,100000	7,838274E-1
9,116667	7,837835E-1
9,133333	7,834248E-1
9,150000	7,833589E-1
9,166667	7,833150E-1
9,183333	7,832857E-1
9,200000	7,834321E-1
9,216667	7,833296E-1
9,233333	7,833296E-1
9,250000	7,833296E-1
9,266667	7,833223E-1
9,283333	7,832418E-1
9,300000	7,833077E-1
9,316667	7,833223E-1
9,333333	7,832491E-1
9,350000	7,832491E-1
9,366667	7,833150E-1
9,383333	7,833882E-1
9,400000	7,832710E-1
9,416667	7,836371E-1
9,433333	7,834028E-1
9,450000	7,837469E-1
9,466667	7,836298E-1
9,483333	7,835785E-1
9,500000	7,836371E-1
9,516667	7,836444E-1
9,533333	7,836225E-1
9,550000	7,836664E-1
9,566667	7,833882E-1
9,583333	7,835566E-1
9,600000	7,835273E-1
9,616667	7,832271E-1
9,633333	7,833735E-1
9,650000	7,832491E-1
9,666667	7,832564E-1
9,683333	7,832344E-1
9,700000	7,829636E-1
9,716667	7,829123E-1
9,733333	7,829709E-1
9,750000	7,832418E-1
9,766667	7,830441E-1
9,783333	7,831686E-1
9,800000	7,831905E-1
9,816667	7,833150E-1
9,833333	7,834101E-1
9,850000	7,836444E-1
9,866667	7,835492E-1
9,883333	7,834541E-1
9,900000	7,836810E-1
9,916667	7,837176E-1
9,933333	7,837176E-1
9,950000	7,837615E-1
9,966667	7,836298E-1
9,983333	7,835785E-1
10,000000	7,837396E-1

